Pop,IndID,Cap,Brac_RowNr,SerBrac_RowNr,Brac_appress,Brac_Color,SerBrac_yes_no,Brac_Len,Brac_Wid,BracApCen_Len,BracApCen_Wid
CO,1,1,10,8,2,1,yes,206.17,61.19,46.87,41.98
CO,1,2,11,5,3,1,no,230.11,78.75,42.19,41.76
CO,2,1,9,7,2,1,yes,190.54,89.14,61.13,35.23
CO,2,2,8,5,1,1,no,251.75,87.64,59.14,46.24
CO,3,1,11,9,2,1,yes,211.05,59.54,37.05,26
CO,3,2,10,8,2,1,yes,203.92,46.65,37.7,20.12
CO,4,1,9,7,2,1,yes,275.5,105.38,63.51,42.58
CO,4,2,7,6,1,2,yes,208.75,86.68,52.95,42.76
CO,5,1,8,6,1,1,yes,208.78,59.54,43.38,30.02
CO,5,2,8,6,1,1,yes,178.47,57.57,41.48,24.7
CO,6,1,8,6,1,2,yes,198.73,63.13,40.05,33
CO,6,2,9,8,1,1,yes,220.48,68.01,44.28,35.9
CO,7,1,10,8,2,1,yes,277.13,90.09,54.04,43.57
CO,7,2,10,8,1,2,yes,238.02,77.01,54.15,35.13
CO,8,1,9,7,1,2,yes,154.83,59.3,38.12,30.07
CO,8,2,9,7,1,2,yes,178.6,65.3,40.5,34.48
CO,9,1,8,7,2,1,yes,231.26,61.03,53.04,28.02
CO,9,2,10,8,2,1,yes,228.67,65.86,44.6,27.73
CO,10,1,10,10,1,2,no,NA,NA,NA,NA
CO,10,2,9,9,1,2,no,NA,NA,NA,NA
CO,11,1,10,9,3,1,yes,194.18,69.26,49.09,35.01
CO,11,2,10,8,2,1,yes,204.08,68.41,54.34,39.92
FL,1,1,9,0,1,2,no,286.01,98.68,83.82,59.14
FL,1,2,7,0,1,2,no,252.96,115.85,89.45,62.51
FL,2,1,7,1,2,1,no,216.37,106.23,72.18,76.06
FL,2,2,7,1,3,1,no,218.05,96.46,68.88,56.32
FL,3,1,8,0,3,2,no,294.16,122.48,94.37,87.36
FL,3,2,8,1,2,2,no,249.87,100.18,96.25,80.41
FL,4,1,7,0,2,2,no,283.38,127.09,190.82,67.72
FL,4,2,7,0,2,2,no,240.6,98.31,69.26,97.02
FL,5,1,8,0,2,3,no,228.78,97.72,88.32,64.08
FL,5,2,6,0,2,2,no,162.29,86.83,68.25,54.92
FL,6,1,8,3,1,2,no,243.77,122.71,83.43,75
FL,6,2,8,3,1,2,no,266.33,97.02,97.13,69.26
FL,7,1,6,0,1,3,no,215.67,138.23,100.24,82.02
FL,7,2,7,0,1,3,no,205.64,76.61,72.45,61.35
FL,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL,8,2,7,3,3,1,no,225.27,81.06,83.05,54.08
FL,9,1,8,0,2,2,no,226.08,89.2,72.01,63.07
FL,9,2,8,0,2,2,no,253.95,100.22,91.18,75.15
FL,10,1,8,0,3,1,no,180.6,88.05,71.85,66.12
FL,10,2,7,0,3,2,no,218.92,100.12,71.03,84.1
FP,1,1,7,0,3,2,no,252.22,88.53,85.7,61.19
FP,1,2,8,4,2,2,no,266.02,104.24,84.38,67.6
FP,2,1,7,0,3,1,no,204.98,97.02,71.03,61.4
FP,2,2,8,0,2,1,no,200.09,74.03,64.03,47.01
FP,3,1,8,4,2,1,no,336.25,71.11,96.05,29.07
FP,3,2,9,5,2,1,yes,191.13,51.2,72.37,20.88
FP,4,1,8,0,2,2,no,263.4,96.57,75.93,64.54
FP,4,2,9,0,2,1,no,242.24,97.41,68.62,70.84
FP,5,1,9,6,2,1,yes,228.23,69.87,77.67,29.43
FP,5,2,7,4,2,1,no,262.29,62.07,80,35
FP,6,1,6,0,3,2,no,223.44,87,68.12,70.03
FP,6,2,7,0,2,2,no,242.68,99.5,83.36,58.25
FP,7,1,9,0,1,1,no,215.42,90.93,80.52,50.01
FP,7,2,8,2,2,1,no,240.83,119.1,82.57,86.98
FP,8,1,7,2,3,1,no,159.62,44.01,46.17,32.06
FP,8,2,10,2,2,1,no,183.45,69.26,62.07,47.1
FP,9,1,7,6,1,1,yes,223.22,90.27,51.09,41.01
